"Extension","Description","Category","Format","Programming Language","Program Support"
".java","A JAVA file is a source code file written in the Java programming language, which was originally developed by Sun Microsystems but is now maintained by Oracle. It uses an object-oriented approach, where structured data types, called classes, are used to instantiate objects at runtime.","Developer Files","Text","Java","File Viewer Plus, Oracle Java Virtual Machine, Eclipse IDE for Java Developers, Google Android Studio, Oracle NetBeans, Xinox JCreator, ES-Computing EditPlus, Microsoft Notepad, gVim, Other text editor, Apple Xcode, MacroMates TextMate, MacVim, javac, GNU Emacs, Vi, File Viewer for Android"
".jsf","A JSF file is a script command file created by Fireworks, a graphics editor application. It contains JavaScript code commands that perform certain actions in Fireworks, such as converting a shape color to gray or resizing a shape.","Executable Files","N/A","Not Found","Adobe Fireworks — Discontinued, Project64"
".tmpl","Template file used by Xfire, an instant messaging application for gamers; contains an HTML template file for displaying a user interface page; saved in plain text and contains %variable% code tags that are replaced by user interface-specific values when the application runs.","Misc Files","Text","Not Found","Xfire, BlueJ"
".bat","A BAT file is a DOS batch file used to execute commands with the Windows Command Prompt (cmd.exe). It contains a series of line commands in plain text that are executed to perform various tasks, such as starting programs or running maintenance utilities within Windows.","Executable Files","Text","Batchfile","File Viewer Plus, Microsoft Windows Command Prompt, Microsoft Windows, Any text editor, Parallels Desktop for Mac with Windows installed, WineHQ"
".resx","Resource file used by programs developed with Microsoft's .NET Framework; stores objects and strings for a program in an XML format; may contain both plain text information as well as binary data, which is encoded as text within the XML tags.","Developer Files","XML","Not Found","Microsoft Visual Studio 2019"
".ics","An ICS file is a calendar file saved in a universal calendar format used by several email and calendar programs, including Microsoft Outlook, Google Calendar, and Apple Calendar. It allows users to share calendar information on the web and over email. ICS files are most often used to send meeting requests to other users, who can import the meeting's details into their own calendars.","Misc Files","Text","Not Found","Microsoft Outlook 365, Mozilla Thunderbird Lightning Calendar, Any text editor, Apple Calendar, Horde Kronolith, Claws Mail with vCalendar plugin, Google Calendar, Indigoblue Free ICS to CSV Converter, ProjectWizards ICS to CSV Converter, Google Chrome Text, Sony Digital Voice Player, Microsoft Windows Media Player with Sony Player Plug-in, IronCAD"
".x","3D image file used by DirectX technology, which is often used for rendering 3D graphics in games; may contain specifications for meshes, textures, animations, and objects; can be exported using the DirectX SDK plugins for 3ds Max and Maya, or with custom exporters for programs such as Blender and DeleD.","3D Image Files","Text","Logos","Microsoft DirectX SDK, Flex for Windows, Microsoft Visual Studio with MKS Lex & Yacc plug-in, Any text editor, Lex"
".dcr","A DCR file is an interactive media file saved in the Shockwave format for distribution on the web. It is often used for creating web games and other highly interactive content.","Web Files","Binary","Not Found","Adobe Director, Adobe Shockwave Player, File Viewer Plus, Adobe Photoshop 2021, Microsoft Photos, Adobe Photoshop Elements 2020, CorelDRAW Graphics Suite 2021, ACD Systems ACDSee Photo Studio, Canvas X, Kodak DCS File Converter, Apple Preview, Adobe Photoshop Express, File Viewer for Android, Embarcadero Delphi, High Criteria Liberty Court Recorder, High Criteria Liberty Player, BIS Digital DCR Player, BIS Digital Digital Court Recorder"
".licx","Text file that identifies the licensed classes used in a Visual Studio.NET project; links the license files to the corresponding resources listed in the licenses.licx file.","Developer Files","N/A","Not Found","Microsoft Visual Studio 2019"
".mno","Text file that contains information about a Web document; saved in an XML format and has a main <info> tag that contains descriptive items within <infoitem> tags; may be created by either Adobe Dreamweaver or Contribute.","Data Files","XML","Not Found","Adobe Dreamweaver 2020, Adobe Contribute 6.5, Westwood Studios Monopoly"
".plx","Executable program written in the Perl programming language; often used for Web applications that are run on a Web server, but may be run on any system that includes a Perl interpreter.","Executable Files","Text","Perl","ActiveState ActivePerl, Microsoft IIS with PerlIS, Bare Bones BBEdit, Hex-Rays IDA"
".vm","Developer file used by Velocity, a Java-based template engine; written using the Velocity Template Language (VTL); contains VTL statements inserted in a normal text document; often used for auto-generating Web source code and class skeletons.","Developer Files","Text","Not Found","Apache Velocity"
".dwg","A DWG file is a 2D or 3D drawing created with Autodesk AutoCAD, a professional CAD program. It contains vector image data and metadata that AutoCAD and other CAD applications use to load a drawing. DWG files are related to .DXF files, which are ASCII versions of DWG files.","CAD Files","Binary","Not Found","Autodesk AutoCAD 2022, Autodesk Fusion 360, Autodesk DWG TrueView, IMSI TurboCAD Pro, CorelCAD 2020, Dassault Systemes DraftSight, Dassault Systemes SolidWorks eDrawings Viewer, Adobe Illustrator 2021, GRAPHISOFT ArchiCAD, Canvas X, CADSoftTools ABViewer, IMSI TurboCAD Deluxe, progeCAD iCADMac, Microspot DWG Viewer, Bricsys Bricscad, Autodesk Viewer, Watermark Images DWG Conversion, Microsoft OneDrive, AutoDesk AutoCAD, AutoDWG DWGSee"
".bz2","Compressed archive created by bzip2, a file compression program often found on Unix-based systems; incorporates the Burrows-Wheeler compression algorithm as well as Run-Length Encoding (RLE) for high levels of compression; often used for Linux software package distributions.","Compressed Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Corel WinZip, Smith Micro StuffIt Deluxe, RARLAB WinRAR, PeaZip, 7-Zip, Apple Archive Utility, Corel WinZip Mac, Incredible Bee Archiver, Smith Micro StuffIt Deluxe Mac 16, The Unarchiver, bzip2, File Viewer for Android, RARLAB RAR"
".ece","Web page dynamically generated by the Escenic Content Engine, an advanced platform for Web publishing and content management; typically contains server-side code that is parsed by the Web server, which generates HTML for the Web page.","Web Files","N/A","Not Found","Run with the Escenic Content Engine, View in a Web browser"
".epc","File used by Doctor Who: The Adventure Games, a computer game that follows the Doctor Who BBC television series, which broadcasts in the United Kingdom (UK); contains 3D model data, such as 3D scenes, maps, and rooms; used for rendering 3D visual data in the game.","Game Files","Binary","Not Found","BBC Doctor Who: The Adventure Games — Discontinued"
".ice","Compressed file archive created by ICEOWS (Interface de Compression Ergonomique pour windOWS), a Polish file compression program for Windows; formerly known as ArjFolder.","Compressed Files","Binary","Not Found","ICEOWS, ESTsoft ALZip"
".jspa","Alias or shortcut to a Java Servlet (.JSP) file; used by the WebWork Web application framework for online forums and related services; may execute one or more JSP pages when called.","Web Files","N/A","Not Found","View in a Web browser, Run from a Web server with J2EE installed"
".lst","A file with an .lst extension is most likely a text file that contains a list of data. LST files are used by many different programs, including Microsoft Visual Studio and various text editors.","Text Files","Text","Not Found","Microsoft Visual Studio 2019, Microsoft Notepad, Microsoft WordPad, Notepad++, Other text editor, Apple TextEdit, gedit, Beaver, Leafpad, GNU Nano, Now Contact, HP LightScribe Template Labeler, Microsoft Visual FoxPro, GNU GRUB"
".vbs","A VBS file is a Virtual Basic script written in the VBScript scripting language. It contains code that can be executed within Windows or Internet Explorer, via the Windows-based script host (Wscript.exe), to perform certain admin and processing functions.","Executable Files","Text","Visual Basic","Microsoft Visual Studio 2019, Adobe Dreamweaver 2020, Microsoft WScript, Any text editor"
".ai","An AI file is a drawing created with Adobe Illustrator, a vector graphics editing program. It is composed of paths connected by points rather than bitmap image data. Since AI files are saved in a vector format, they can be enlarged without losing any image quality.","Vector Image Files","Binary","Not Found","Adobe Illustrator 2021, Adobe Acrobat DC, Adobe Photoshop 2021, IMSI TurboCAD Pro, Canvas X, CorelDRAW Graphics Suite 2021, Inkscape, ideaMK Ai Viewer, Apple Preview, IMSI TurboCAD Deluxe, sK1, GIMP, Electronic Arts Battlefield 2"
".cur","A CUR file is a cursor image or animation used for the Windows mouse pointer. It may be an arrow (for general use), a spinning hourglass (for waiting periods), or an I-bar (for text editing).","System Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Microsoft Windows, Axialis CursorWorkshop, Greenfish Icon Editor Pro, ACD Systems ACDSee Photo Studio, Corel PaintShop Pro, Inkscape, Snap Converter"
".dmg","A DMG file is a mountable disk image used to distribute software to the macOS operating system. The file is typically downloaded from the Internet by a Mac user, then double-clicked to install an application on the computer.","Disk Image Files","Binary","Not Found","File Viewer Plus, 7-Zip, PeaZip, Catacombae HFSExplorer, Reincubate DMG Extractor, DMG2IMG, DMG2ISO, Apple Disk Utility, Roxio Toast 18, Incredible Bee Archiver"
".img","An IMG file is a disk image file created by various disk imaging applications, such as H+H Software Virtual CD. It stores an exact copy of the data on a CD or DVD and is used for backups and burning new discs.","Disk Image Files","Binary","Not Found","H+H Software Virtual CD, Lightning UK! ImgBurn, Smart Projects IsoBuster, EZB Systems UltraISO, MagicISO, Power Software gBurner, Rockstar Games Grand Theft Auto 3, Rockstar Games Grand Theft Auto: Vice City, Rockstar Games Grand Theft Auto: San Andreas, Rockstar Games Grand Theft Auto 4, IMG Tool, SparkIV, OpenIV, ImgEd, Apple Disk Utility, Roxio Toast 18, RawWrite, DiskCopy, Oracle VM VirtualBox, Garmin Mobile PC, cGPSmapper, MapUpload, GPS Map Manager, MapSetToolKit, Sendmap, ERDAS IMAGINE, ESRI ArcGIS Pro, GDAL, Adobe Photoshop 2021, CorelDRAW Graphics Suite 2021, Corel PaintShop Pro, GEM Paint, Corel Presentations 2020"
".inf","An INF file is a plain text configuration file that defines what files are installed with a certain software program or update. It may also list the location of the files and the directories where the files are to be installed. INF files are used by the Windows operating system, or by the program or installer that includes the INF file.","Settings Files","Text","Not Found","File Viewer Plus, Microsoft Windows, Microsoft Notepad, Other text editor, MacroMates TextMate, Inform 6, Inform 7, Microsoft Visual Studio Code, Any text editor"
".chm","A CHM file contains help documentation compiled and saved in a compressed HTML format. It may include text, images, and hyperlinks. CHM files are used by Windows programs as an online help solution.","Web Files","Binary","Not Found","File Viewer Plus, Microsoft HTML Help Executable"
".csp","Dynamic Web page that contains code written for the RadGs Concept Application Server; executed on the server, which generates the data that is sent to the user's Web browser.","Web Files","N/A","Not Found","Run with RadGs Concept Application Server, View in a Web browser, InterSystems Cach� Application Server"
".file","A FILE is a generic file extension that may be appended to a Windows file that does not have an extension. It is an unknown file type and no associated program will automatically open it.","Misc Files","N/A","Not Found","Open with corresponding program"
".m3u","An M3U file is a media playlist file supported by several media players such as Winamp and iTunes. It contains a playlist of MP3s and other audio or video files and lists the locations of media files in a plain text format.","Audio Files","Text","Not Found","Microsoft Windows Media Player, VideoLAN VLC media player, Nullsoft Winamp, Apple iTunes, Media Player Classic, RealNetworks RealPlayer 20/20, foobar2000, Clementine, Songbird, XMMS, VideoLAN VLC for Mobile, Oka Apps Omni Player, Videolabs VLC for Android"
".psp","Color bitmap image saved in the native PaintShop Pro format; may include layers, guides, vector paths, metadata, and other objects within the image file.","Raster Image Files","Binary","Not Found","Corel PaintShop Pro, CorelDRAW Graphics Suite 2021, Corel VideoStudio 2020, Canvas X, Chasys Draw IES, Create with Oracle Database software, View in a Web browser, Edit with a text editor, Adobe Photoshop 2021, Adobe Photoshop Elements 2020"
".py","A PY file is a program file or script written in Python, an interpreted object-oriented programming language. It can be created and edited with a text editor, but requires a Python interpreter to run. PY files are often used for programming web servers and other administrative computer systems.","Developer Files","Text","Python","File Viewer Plus, Python Software Foundation Python, Microsoft Notepad, Notepad++, Sublime Text, JetBrains PyCharm, Other text editor, MacroMates TextMate, GNU Emacs, gedit, Online Python Editor and IDE, File Viewer for Android"
".sh","An SH file is a script programmed for bash, a type of Unix shell (Bourne-Again SHell). It contains instructions written in the Bash language and can be executed by typing text commands within the shell's command-line interface.","Developer Files","Text","Shell","File Viewer Plus, gVim, Notepad++, GNU Bash, Cygwin, Git BASH, Apple Terminal, iTerm, MacVim, Vim, File Viewer for Android, Termux, ZipZag, unshar"
".dev","Programming project created with Dev-C++, an open-source Integrated Development Environment (IDE) for C/C++ software programming; DEV-C++ is distributed under the GNU General Public License.","Developer Files","N/A","Not Found","BloodshedSoftware Dev-C++, Orwell Dev-C++, Microsoft Windows, Parallels Desktop for Mac with Windows installed"
".eps","An EPS file is a graphics file saved in the Encapsulated PostScript (EPS) file format. It may contain 2D vector graphics, bitmap images, and text. EPS files also include an embedded preview image in bitmap format.","Vector Image Files","Text","PostScript","Adobe Illustrator 2021, CorelDRAW Graphics Suite 2021, Corel PaintShop Pro, Adobe Acrobat DC, Adobe Photoshop 2021, Adobe InDesign 2020, Serif Affinity Designer, Canvas X, Corel Presentations 2020, GPL Ghostscript, QuarkXpress, Scribus, MAGIX Xara Designer Pro X, Apple Preview, KDE Okular, Grasshopper PageStream, XnViewMP"
".list","FIle created by APT, an Advanced Package Tool used to manage applications; holds a list of package sources that software can be downloaded from; contains information detailing the archive type indicating whether it contains binary or source packages.","Data Files","Text","Not Found","APT, Microsoft Notepad, Other text editor, Oracle Java Virtual Machine, Apple TextEdit, Vim"
".m4v","An M4V file is an MPEG-4 file used to store video downloaded from the Apple iTunes store, such as TV episodes, music videos, and full-length movies. It is similar to the .MP4 file, but may be copy-protected using Apple's FairPlay DRM copyright protection.","Video Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Microsoft Windows Media Player, Apple iTunes, Nullsoft Winamp, Corel VideoStudio 2020, Media Player Classic, VideoLAN VLC media player, PCF Miro, Apple QuickTime Player, Eltima Elmedia Player, ShedWorx Smart Converter, Google Drive, Apple Music, VideoLAN VLC for Mobile, PentaLoop PlayerXtreme Media Player"
".p","A P file is a pickle file created by pickle, a Python module used for converting Python objects to a byte representation for storage on disk or transfer over a network. It allows for objects to be conveniently stored or transmitted without first having to convert the data to another format. P files can be ""unpickled"" and loaded back into program memory during runtime.","Developer Files","Binary","OpenEdge ABL","Python pickle, Free Pascal, Borland Turbo Pascal, Irie Tools Irie Pascal, Bare Bones BBEdit, MacroMates TextMate, NewTek LightWave 3D"
".bk","A BK file contains a book created with Adobe FrameMaker, a program used to author, enrich, manage, and publish technical documentation. It contains pages that are formatted for print and may include text as well as raster and bitmap images. BK files were replaced with .BOOK files by FrameMaker.","Page Layout Files","N/A","Not Found","Adobe FrameMaker"
".bsp","A BSP file is a map file used by games developed with one of the Quake game engines. It contains the layout information, objects, and resources for a level map. BSP files are used by many games, including Quake, Quake 2, Quake 3, Half-Life, Half-Life 2, Team Fortress, Counter-Strike, Counter-Strike: Condition-Zero, Portal, and Call of Duty: World at War.","Game Files","Binary","Not Found","id Software GtkRadiant, GCFScape, Q3Map2, QuArK, Irrlicht, BSP, Atlas BSP Table"
".cms","Web page published via a content management system (CMS), an automated system used for publishing documents to the Web; often based on the same template as other pages and is generated dynamically on the Web server.","Web Files","N/A","Not Found","View in a Web browser, Edit with a CMS application, Microsoft Connection Manager Administration Kit, Red Dot Games Car Mechanic Simulator 2018"
".d","Source code written in the D programming language; similar to C++, but also influenced by C#, Java, and Eiffel; can be opened and edited in a text editor, but requires a D compiler to be compiled into an executable program.","Developer Files","Text","Makefile","Code::Blocks, Any text editor, MacroMates TextMate, GNU Emacs, GNU Make"
".idx","An IDX file is a subtitles index file created and used by VobSub, a program that allows users to extract subtitles from DVDs. It contains a list of plain text settings and timestamps used to show the subtitles that a .SUB (VobSub Subtitles) file contains. IDX files are always paired with accompanying SUB files.","Video Files","Text","Not Found","VobSub, DirectVobSub, VideoLAN VLC media player, Any text editor, MPlayer, SMPlayer, J2 Interactive MX Player, Transfer to a VDO Dayton device, Wonderware InTouch, WorkSmart Automation ReportBuilder, Microsoft Outlook Express — Discontinued, ESRI ArcGIS Pro, ICQ, Intuit Quicken"
".jad","A JAD file contains information about a MIDlet, which is a type of Java program developed for the Java ME (Micro Edition) virtual machine. It stores text attributes that describe the contents and capabilities of the MIDlet and may also include DRM protection information. JAD files are commonly used to package Java games and applications developed for cell phones.","Misc Files","Text","Not Found","LogoManager MobiMB Mobile Media Browser, JADMaker"
".ssf","An SSF file is data file used by Trimble GIS mapping software applications, which are used with GPS devices to collect field data. It contains GPS position data recorded from a Trimble device. SSF files are used to log GPS data and create custom coordinate systems.","GIS Files","Binary","Not Found","Trimble Navigation GPS Pathfinder Office, Trimble Navigation GPS Pathfinder Tools SDK, ESRI ArcGIS for Desktop with Trimble GPS Analyst plug-in, Any text editor, DirectVobSub"
".stm","Data file saved by Microsoft Exchange Server in conjunction with .EDB files; used by the Exchange information store, which is comprised of:","Data Files","N/A","Not Found","Microsoft Exchange Server, Stellar Repair for Exchange, OpenMPT, Schism Tracker, Nullsoft Winamp, MikMod, CocoModX — Discontinued, hardWIRED The Powder Toy, Any Web browser, Run on a Web server"
".as","An AS file is a source code file written in ActionScript, a scripting language originally developed by Macromedia but now developed by Adobe Systems. It contains variables, functions, and references to other files. AS files are typically used for creating interactive Flash applications.","Developer Files","Text","ActionScript","File Viewer Plus, Adobe Animate CC 2019, Adobe Dreamweaver 2020, FlashDevelop, Microsoft Notepad, Notepad++, Other text editor, MacroMates TextMate, Apple TextEdit, File Viewer for Android, Mac Binary Converter, AngelScript, Any text editor"
".au","An AU file is an audio file created by Audacity, a free, cross-platform audio editor. It is saved in a proprietary audio format used only by Audacity. AU files are part of Audacity projects, which are saved as .AUP files.","Audio Files","Binary","Not Found","Audacity, File Viewer Plus — Get it from Microsoft, Nullsoft Winamp, Microsoft Windows Media Player, Apple QuickTime Player, RealNetworks RealPlayer 20/20, Adobe Audition CC 2021, VideoLAN VLC media player, RealNetworks RealTimes: Video Maker, RealNetworks RealTimes Video Maker"
".cnf","Configuration file used by MySQL, an open-source relational database program; contains settings such as the default character encoding, timeouts, and cache and buffer settings; often modified to fine-tune performance depending on the use of the database.","Settings Files","Text","Not Found","MySQL, Windows Telnet, Mac OS X Terminal"
".dhtml","A DHTML file is a text file that contains DHTML (Dynamic HTML) code. It is used for developing interactive webpages that can change without being reloaded or opening another link. DHTML files can be used to create dropdown menus, floating layers, rollover buttons, and other dynamic content.","Web Files","N/A","Not Found","View in a web browser, Edit with any text editor"
".lock","A LOCK file is a file used by various operating systems and programs to lock a resource, such as a file or a device. It typically contains no data and only exists as an empty marker file, but may also contain properties and settings for the lock.","Misc Files","Text and Binary","JSON","Mozilla Firefox, Microsoft OneDrive, Apache Web Server, Mojang Minecraft"
".m","An M file is a class implementation file used by programs written in Objective-C. It begins with the @implementation directive and initializes variables and functions that can be referenced by other Objective-C source files. M files may also reference header (.H) files.","Developer Files","Text","Objective-C","Richardson EditRocket, jEdit, gVim, Apple Xcode, Bare Bones BBEdit, MacroMates TextMate, MacVim, GNU Compiler Collection (GCC), Vim, Apple complier (cc), Stepstone compiler (objcc), The MathWorks MATLAB, Notepad++, winmercury, Microsoft Notepad, Other text editor, Mercury Compiler, GNU Emacs, Beaver, Wolfram Research Mathematica, Apple TextEdit, gedit, Leafpad, FMPMD2000"
".pm","Bitmap image format generated by the Unix program ""xv,"" an interactive image manipulation program for the X Window System; also a used by IBM's OS/2 Presentation Manager.","Raster Image Files","N/A","Perl6","XnViewMP, Newera Graphics Converter Pro, Lemkesoft GraphicConverter, xv, File Viewer Plus, Perl Express, Open Perl IDE, Solutionsoft Perl Builder, Use and compile with Perl, Edit with a text editor, MacroMates TextMate, Bare Bones BBEdit"
".pptx","A PPTX file is a presentation file created by Microsoft PowerPoint or exported by another presentation program, such as OpenOffice Impress or Apple Keynote. It contains a collection of slides, including their text, images, formatting, animations, drawn objects, and other media. PPTX files are commonly used in business meetings, marketing applications, and academic classroom settings.","Data Files","Zip","Not Found","File Viewer Plus, Microsoft PowerPoint 365, Corel Presentations 2020, OpenOffice Impress, Kingsoft Presentation, Ability Office, SoftMaker Office, LibreOffice, Canvas X, Apple Preview, Apple Keynote, Planamesa NeoOffice, Google Slides, Google Drive, Polaris Office Web Slide, Microsoft Office, Microsoft PowerPoint, MobiSystems OfficeSuite Pro, Infraware Polaris Office, File Viewer for Android, SoftMaker Office HD: Presentations BASIC, Kingsoft WPS Office for Android"
".sav","A SAV file is a saved game used by Nintendo DS portable game system emulators such as DeSmuME and NO$GBA. It stores the state of the current game progress and includes game information such as the character name, experience points, completed levels, and in-game resources.","Game Files","Binary","Not Found","NO$GBA, iDeaS Emulator, DeSmuME, Open with original program, IBM SPSS, Gibbed's Mass Effect 3 Save Editor, Electronic Arts Mass Effect 3, Parallels Desktop 15 for Mac, Bethesda Softworks Fallout 2, RARLAB WinRAR, Epic Games Fortnite, ClientSettings Editor, Dolphin"
".ssi","Developer file used by Adobe Dreamweaver, a Web development application; contains common information that is shared across multiple Web pages; often used for including website templates and shared Web page components.","Developer Files","Text","Not Found","Adobe Dreamweaver 2020"
".suo","User information file that stores data in a structured binary format; referenced by VSPackages created with Visual Studio; opened by the LoadUserOptions Method and modified by the WriteUserOptions and SaveUserOptions methods.","Developer Files","Binary","Not Found","Microsoft Visual Studio 2019"
".vbproj","A VBPROJ file is a Visual Basic.NET project created in Microsoft Visual Studio. It is an XML file that defines the project's content, platform requirements, versioning information, and web server or database server settings. Developers compile VBPROJ files using MSBuild (the Microsoft Build Engine).","Developer Files","XML","XML","Microsoft Visual Studio 2019, Microsoft Visual Studio for Mac"
".wml","Web page created for mobile devices, such as PDAs (personal digital assistants) and cell phones; similar to an .HTML file, but written in the wireless markup language (WML) instead of HTML.","Web Files","Text","Not Found","Adobe Dreamweaver 2020, SyncRO Soft oXygen XML Editor, AbiSource AbiWord, Microsoft Internet Explorer, Google Chrome, Mozilla Firefox, Other Web browser, Apple Safari"
".xsd","An XSD file is a file used to define what elements and attributes may appear in an XML document. It also defines the relationship of the elements and what data may be stored in them. XSD files are written in the W3C XML Schema language.","Developer Files","XML","XML","File Viewer Plus, Microsoft XML Notepad, Microsoft Visual Studio 2019, SyncRO Soft oXygen XML Editor, Liquid Technologies Liquid XML Studio, Progress Stylus Studio, JAPISoft EditiX, Altova XMLSpy, Any text editor, Bare Bones BBEdit"
".atom","XML-based syndication format, similar to .RSS files; designed to be a universal publishing standard for personal content and weblogs","Web Files","XML","Not Found","FeedDemon — Discontinued, RssReader, Apple Safari, NewsGator NetNewsWire"
".bkp","Backup file that may be created by various programs; often created automatically to provide a backup in case the original file becomes corrupted; the "".bkp"" extension is often appended to the file's original extension and may need to be removed in order for the file to open correctly.","Backup Files","N/A","Not Found","Open with program that created original file, Zaplots Zapback"
".crt","Certificate used by secure websites (beginning with ""https://"") to verify their authenticity; distributed by companies such as Verisign and Thawte.","Web Files","N/A","Not Found","Microsoft Internet Explorer, Mozilla Firefox, Google Chrome, Other Web browser, Apple Safari"
".eml","An EML file is an email message saved by an email application, such as Microsoft Outlook or Apple Mail. It contains the content of the message, along with the subject, sender, recipient(s), and date of the message. EML files may also store one or more email attachments, which are files sent with the message.","Text Files","Text and Binary","Not Found","File Viewer Plus, Microsoft Outlook 365, Microsoft Windows Mail, Microsoft Internet Explorer, Mozilla Thunderbird, Encryptomatic Message Viewer Lite, Mozilla SeaMonkey, Aryson EML Converter, Apple Mail, KMail, File Viewer for Android"
".fil","List of database objects stored in a database; created by early versions of dBASE, as well as ACL for Windows; similar to an .STR file, which defines the structure of a dBASE database.","Data Files","N/A","Not Found","dBase, ACL Services ACL Desktop Edition, Transfer to a Symbian-based phone"
".geo","Virtual world created in the Virtual Reality Markup Language (VRML) format; contains a three-dimensional scene, which users can walk through using a computer interface; often used for simulating building and landscape designs.","3D Image Files","N/A","GLSL","IMSI TurboCAD Pro, IMSI TurboCAD Deluxe, TRUMPF TruTops Boost"
".h","An H file is a header file referenced by a document written in C, C++, or Objective-C source code. It may contain variables, constants, and functions that are used by other files within a programming project. H files allow commonly used functions to be written only once and referenced by other source files when needed.","Developer Files","Text","Objective-C","File Viewer Plus, Microsoft Visual Studio 2019, Code::Blocks, Eclipse IDE for C Developers, Embarcadero C++Builder, Borland C++ Compiler, BloodshedSoftware Dev-C++, gVim, Any text editor, Apple Xcode, GNU Compiler Collection (GCC), MacroMates TextMate, MacVim, Vi, GNU Emacs, File Viewer for Android"
".iso","An ISO file is a common CD or DVD disc image format based on the ISO-9660 standard. It contains an exact duplicate of data from the original disc, which includes the data saved on the disc as well as the filesystem information, such as directory structures, file attributes, and boot code. ISO files are often used for making copies of CDs and DVDs.","Disk Image Files","Binary","Not Found","File Viewer Plus, Microsoft File Explorer, Nero 2019, Roxio Creator NXT Pro 7, Corel WinZip, ISO Master, QEMU, PowerISO, Alcohol 120%, DT Soft DAEMON Tools, NeoSmart Technologies EasyBCD, 7-Zip, VideoLAN VLC media player, RARLAB WinRAR, Sysprogs WinCDEmu, Apple Disk Utility, Roxio Toast 18, Parallels Desktop 15 for Mac, VMware Fusion 11, Canonical Furius ISO Mount, Brasero, K3b, dd, Virtual x86, RARLAB RAR, Limbo PC Emulator, PTC Arbortext IsoDraw, PTC Creo View Express, PCSX2, Dolphin"
".kmz","A KMZ file is a Zip-compressed .KML file that stores map locations viewable in various geographic information systems (GIS) applications, most notably Google Earth. It contains one or more placemarks that may include a custom name and the latitudinal and longitudinal coordinates of the location. KMZ files may also include COLLADA 3D models, overlays, and images referenced by the KML file.","GIS Files","Zip","Not Found","Google Earth Pro, Trimble SketchUp, Blue Marble Geographics Global Mapper, ESRI ArcGIS Pro, Blender with Google Earth Importer plug-in, Adobe Photoshop 2021, Google Earth, Google Maps"
".rec","A REC file contains video created by a Topfield PVR digital video recorder, a device used to record standard and high definition television programming. It is saved in a proprietary compressed format that can be viewed on a Topfield PVR device or with various third-party video players.","Video Files","N/A","Not Found","Squared 5 MPEG Streamclip, VideoLAN VLC media player, Elecard MPEG Player, DRD Systems VideoReDo, Eltima Elmedia Player, Breaktru eJuice Me Up, Juice Grinder, Any text editor"
".war","A WAR file is a compressed package containing Java-based web components and applications that are run on a web server. It is formatted the same way as a .JAR file, but includes additional information that tells the application server which Java servlet class to run.","Compressed Files","Binary","Not Found","File Viewer Plus, Smith Micro StuffIt Deluxe, RARLAB WinRAR, ESTsoft ALZip, Apache Tomcat, Corel WinZip Mac, Smith Micro StuffIt Deluxe Mac 16, unrar"
".xslt","Text file similar to an .XSL document that contains XML style transformation information; used for transforming XML documents into a standard output format, such as a text document or an .HTML Web page.","Data Files","XML","XSLT","File Viewer Plus, FileMaker Pro Advanced, Microsoft Visual Studio 2019, SyncRO Soft oXygen XML Editor, Liquid Technologies Liquid XML Studio, Microsoft Notepad, MacroMates TextMate"
".a","An A file contains a library of functions and headers that may be referenced by a C/C++ source file. It may store only a few functions or may include an entire library of functions, such as a 3D modeling engine. A files are typically created by the GNU ar utility.","Developer Files","Text","Not Found","Microsoft Visual Studio 2019, Microsoft Notepad, gVim, Other text editor, GNU Compiler Collection (GCC), Apple TextEdit, Bare Bones BBEdit, MacVim, Sun Studio C/C++ Compiler, Vi, GNU Emacs"
".cat","File used by the Windows operating system; specifies that a group of files are from a verifiable source; used for security purposes and contains a digital signature, the catalog version, and an effective date; often used for verifying new software update files.","System Files","Binary","Not Found","Microsoft Windows, Elcomsoft Advanced Disk Catalog"
".ds","A DS file is a plain text script used by DAZ 3D DAZ Studio, a 3D modeling application. It contains instructions that automate a DAZ Studio task or extend the program's capabilities. For example, a DS file might be used as a macro for quickly applying character morphs or model presets, or for working with import and export files.","3D Image Files","Text","Not Found","DAZ 3D DAZ Studio 4, Microsoft Notepad, Any text editor, Apple TextEdit, LMMS, Furcadia, Runs itself within scanning software such as Adobe Photoshop"
".dwf","A DWF file is a 2D/3D drawing saved in the Design Web Format (DWF) developed by Autodesk. It contains design data, which includes graphics and text. DWF files are saved in a Zip-compressed format to reduce the size of the file.","3D Image Files","Binary","Not Found","Autodesk Design Review, IMSI TurboCAD Pro, CorelCAD 2020, AutoDWG DWGSee, Canvas X, Safe Software FME Desktop, CAD Systems Unlimited Slick! ViewPlus, DWG TOOL Acme CAD Converter, IMSI TurboCAD Deluxe, ShareCAD.org, AutoDesk Viewer / DWG TrueView, Okino Computer Graphics PolyTrans, AutoDesk AutoCAD"
".film","A FILM file is an encrypted video file created by Filmkey Player, a utility used to view films with Digital Rights Management (DRM). It contains a movie, which may be an .MP4, .M4V, .MOV, .QT, .MQV, or .MOOV file, encrypted with Filmkey encoder.","Encoded Files","N/A","Not Found","Filmkey Player"
